3561	24.7	7.4	2.3	chr15	68443292	68444956	(33546233)	C	L1MEg	LINE/L1	(3602)	2544	791
7759	23.4	8.0	3.4	chr15	68968042	68970582	(33020607)	+	L1M4	LINE/L1	39	2721	(3852)
3906	24.6	11.9	6.5	chr15	73064796	73066019	(28925170)	C	L1MEg	LINE/L1	(4015)	2069	788
1955	23.9	5.0	6.5	chr15	75102370	75102642	(26888547)	C	L1MEg	LINE/L1	(4731)	1686	1411
3954	21.4	7.7	5.3	chr15	80516857	80518274	(21472915)	C	L1MCa	LINE/L1	(5176)	2341	753
7519	19.9	12.0	7.8	chr15	85131057	85132147	(16859042)	C	L1M4	LINE/L1	(3760)	2981	1756
6150	19.0	9.5	2.1	chr15	89609772	89612287	(12378902)	C	L1M4	LINE/L1	(2974)	3599	839
2469	24.4	7.3	3.4	chr15	98994603	98995319	(2995870)	C	L1MEd	LINE/L1	(5335)	1751	982
2768	21.7	9.3	3.1	chr16	2802897	2804020	(87534325)	C	L1M4	LINE/L1	(3755)	2818	1611
530	27.8	9.9	0.6	chr16	89714608	89714732	(623613)	C	L1MEg	LINE/L1	(4935)	2285	2182
1169	32.2	7.8	2.2	chr17	29033836	29034898	(54222543)	+	L1MEg	LINE/L1	16	1274	(4933)
1599	28.7	10.9	2.0	chr17	62530499	62531614	(20725827)	C	L1MEg	LINE/L1	(4312)	1930	717
2089	25.9	9.3	3.9	chr17	73621086	73621999	(9635442)	+	L1MEf	LINE/L1	330	1297	(4903)
1552	22.7	7.4	6.3	chr17	82609471	82609928	(647513)	+	L1M4	LINE/L1	1269	1718	(5799)
1624	20.4	5.2	3.0	chr18	21872699	21873164	(58500121)	+	L1MCa	LINE/L1	1506	1982	(4769)
2368	27.1	8.7	3.9	chr18	35474713	35475385	(44897900)	+	L1MCa	LINE/L1	977	1650	(4858)
4190	22.4	3.5	2.3	chr18	35955651	35956485	(44416800)	C	L1MEf	LINE/L1	(4205)	1995	1152
2987	19.1	10.3	1.5	chr18	36051751	36052597	(44320688)	+	L1M4	LINE/L1	1405	2334	(5183)
1644	26.4	6.2	2.6	chr19	11221124	11221410	(47396206)	+	L1MEg	LINE/L1	831	1122	(4962)
839	15.5	3.7	11.8	chr19	15104130	15104268	(43513348)	+	L1M4	LINE/L1	1600	1721	(5796)
1280	21.2	4.6	2.2	chr19	46555795	46556155	(12061461)	+	L1MEg	LINE/L1	1018	1387	(4697)
1804	21.5	10.6	1.8	chr19	49382291	49382857	(9234759)	+	L1MEg	LINE/L1	1750	2372	(4961)
2213	24.7	7.5	5.5	chr2	39803201	39804317	(202389212)	C	L1MEg	LINE/L1	(4135)	1949	807
1845	18.4	6.1	3.5	chr2	216904019	216904497	(25289032)	C	L1MCa	LINE/L1	(4920)	1831	1340
1628	25.0	7.9	5.9	chr20	5712438	5713179	(58730988)	C	L1MEg	LINE/L1	(4472)	1612	858
1611	26.3	8.2	2.8	chr20	36282826	36283463	(28160704)	C	L1MEd	LINE/L1	(5794)	1292	618
2274	27.1	6.4	5.5	chr20	46660153	46661298	(17782869)	C	L1MEf	LINE/L1	(4524)	3026	844
4434	22.7	3.5	6.8	chr20	63719081	63719725	(724442)	C	L1M4	LINE/L1	(5658)	2033	1398
837	22.5	8.0	2.7	chr21	36681286	36681545	(10028438)	+	L1MEg	LINE/L1	1106	1380	(4862)
1558	24.0	11.2	7.1	chr21	46515859	46516484	(193499)	C	L1MEg	LINE/L1	(565)	2785	2073
900	20.2	28.1	3.3	chr22	30795211	30795518	(20022950)	C	L1MEg	LINE/L1	(4861)	1315	933
1818	25.4	5.6	5.0	chr22	32293167	32294057	(18524411)	C	L1MEg	LINE/L1	(3985)	2099	1204
2682	23.0	5.8	6.0	chr22	38808974	38810184	(12008284)	C	L1MEg	LINE/L1	(3640)	2506	1206
2714	24.6	3.2	9.4	chr22	49991153	49991632	(826836)	+	L1M4	LINE/L1	1372	1857	(5660)
2139	22.8	7.0	5.7	chr3	38386828	38387355	(159908204)	C	L1MEg	LINE/L1	(4637)	2913	2379
2070	25.7	6.0	4.0	chr3	45561630	45562402	(152733157)	C	L1MEf	LINE/L1	(4390)	3160	2376
737	28.5	5.0	1.8	chr3	99976520	99976851	(98318708)	C	L1MCa	LINE/L1	(4904)	2224	1882
449	32.8	0.0	0.5	chr3	99976864	99977053	(98318506)	C	L1MCa	LINE/L1	(5976)	447	259
1486	26.4	11.7	4.0	chr4	54159104	54159863	(136054692)	C	L1MEg	LINE/L1	(4224)	2813	1951
2743	25.6	12.2	4.7	chr4	75505680	75507832	(114706723)	+	L1MEg	LINE/L1	159	2492	(3654)
3316	22.1	10.6	4.4	chr5	79719859	79720428	(101817831)	+	L1MEg	LINE/L1	1065	1698	(4719)
1155	24.9	8.5	8.3	chr5	172759647	172760616	(8777643)	+	L1MEg	LINE/L1	283	1535	(4683)
2598	25.0	6.6	3.8	chr6	44582091	44583283	(126222696)	C	L1MEd	LINE/L1	(3780)	2429	1195
3138	17.8	13.4	4.2	chr6	57164893	57165438	(113640541)	C	L1M4	LINE/L1	(5434)	2083	1457
2194	26.6	8.9	6.8	chr6	157389498	157391097	(13414882)	C	L1MEf	LINE/L1	(4120)	2917	1129
989	29.2	14.1	9.7	chr7	316650	317657	(159028316)	C	L1MEd	LINE/L1	(5791)	1295	240
3393	26.7	6.5	2.7	chr7	686609	687813	(158658160)	+	L1MEg	LINE/L1	1	1253	(4831)
2066	29.4	11.2	3.9	chr7	155648713	155650201	(3695772)	C	L1M4	LINE/L1	(5481)	2036	425
3996	24.4	9.8	8.9	chr8	42054883	42057043	(103081593)	C	L1MEg	LINE/L1	(4071)	3262	5
1182	27.2	14.2	2.6	chr9	79878621	79879666	(58515051)	+	L1MEd	LINE/L1	876	2063	(5058)
5435	21.6	4.3	2.7	chr9	97403292	97404881	(40989836)	C	L1M4	LINE/L1	(5275)	2242	481
832	17.6	10.5	0.0	chr9	112712810	112712997	(25681720)	+	L1MEf	LINE/L1	1140	1349	(4851)
1103	27.3	6.2	3.8	chr9	134530837	134531379	(3863338)	+	L1MEd	LINE/L1	1154	1689	(5397)
2628	24.4	6.9	2.1	chrX	40320276	40321345	(115719550)	C	L1MCa	LINE/L1	(4273)	2764	1572
3076	26.7	3.7	3.6	chrX	107047680	107048064	(48992831)	C	L1MEg	LINE/L1	(4848)	2702	2314
